"cohorte","total_mujeres_precoces","total_hombres_precoses","total_mujeres_tempranos","total_hombres_tempranos","total_mujeres_al_corte","total_hombres_al_corte","total_mujeres_d_corte","total_hombres_d_corte","total_desertores","porc_muj_precoz","porc_hom_precoz","porc_muj_temp","porc_hom_temp","porc_muj_al_corte","porc_hom_al_corte","porc_muj_d_corte","porc_hom_d_corte"
"20181","0","0","54","158","30","101","0","0","343","0","0","15.7434","46.0641","8.7464","29.446099999999998","0","0"
"20182","0","2","42","174","44","139","0","0","401","0","0.4988","10.4738","43.3915","10.9726","34.6633","0","0"
"20191","0","1","48","146","41","113","0","0","349","0","0.2865","13.753599999999999","41.8338","11.7479","32.3782","0","0"
"20192","11","37","44","114","41","148","0","0","395","2.7848","9.3671","11.1392","28.860799999999998","10.3797","37.4684","0","0"
"20201","0","0","35","122","35","72","0","0","264","0","0","13.2576","46.2121","13.2576","27.2727","0","0"
"20211","0","0","37","116","18","46","0","0","217","0","0","17.0507","53.456199999999995","8.2949","21.1982","0","0"
"20212","0","0","52","138","17","34","0","0","241","0","0","21.5768","57.261399999999995","7.0539000000000005","14.1079","0","0"
"20221","7","44","27","94","0","0","0","0","172","4.0698","25.5814","15.697700000000001","54.6512","0","0","0","0"
"20231","38","121","57","174","0","0","0","0","390","9.743599999999999","31.025599999999997","14.615400000000001","44.6154","0","0","0","0"
"20232","21","73","29","95","0","0","0","0","218","9.633","33.4862","13.302800000000001","43.578","0","0","0","0"
